California Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,3.65,-0.60
202102,1.39,-2.46
202103,1.73,-1.48
202104,0.29,-1.34
202105,0.11,-0.77
202106,0.14,-0.21
202107,0.29,0.11
202108,0.10,-0.14
202109,0.36,-0.09
202110,3.66,2.46
202111,0.95,-1.58
202112,6.26,2.65
202201,0.45,-3.80
202202,0.24,-3.61
202203,1.05,-2.16
202204,1.72,0.09
202205,0.30,-0.58
202206,0.43,0.08
202207,0.13,-0.05
202208,0.40,0.16
202209,0.83,0.38
202210,0.16,-1.04
202211,2.00,-0.53
202212,6.38,2.77
202301,8.27,4.02
202302,3.36,-0.49
202303,7.23,4.02
202304,0.51,-1.12
202305,0.99,0.11
202306,0.40,0.05
202307,0.02,-0.16
202308,0.79,0.55
202309,0.59,0.14
202310,0.45,-0.75
