Idaho Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,2.33,-0.69
202102,3.06,0.60
202103,1.18,-1.14
202104,0.86,-1.08
202105,1.38,-0.74
202106,0.56,-1.24
202107,0.58,-0.25
202108,1.24,0.40
202109,0.84,-0.37
202110,2.90,1.16
202111,2.17,-0.51
202112,3.91,1.01
202201,2.31,-0.71
202202,0.91,-1.55
202203,1.44,-0.88
202204,2.34,0.40
202205,3.23,1.11
202206,2.08,0.28
202207,0.26,-0.57
202208,0.71,-0.13
202209,0.98,-0.23
202210,1.25,-0.49
202211,2.91,0.23
202212,3.61,0.71
202301,1.89,-1.13
202302,1.61,-0.85
202303,3.30,0.98
202304,1.80,-0.14
202305,2.02,-0.10
202306,2.18,0.38
202307,0.18,-0.65
202308,2.12,1.28
202309,1.38,0.17
202310,1.47,-0.27
