Indiana Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,2.45,-0.29
202102,2.21,-0.02
202103,3.82,0.31
202104,2.94,-0.87
202105,3.72,-0.41
202106,5.93,1.85
202107,5.44,1.64
202108,3.42,-0.06
202109,4.06,0.83
202110,6.04,3.19
202111,1.43,-1.59
202112,4.00,1.15
202201,1.68,-1.06
202202,4.53,2.30
202203,4.02,0.51
202204,3.30,-0.51
202205,5.06,0.93
202206,2.35,-1.73
202207,5.49,1.69
202208,3.83,0.35
202209,2.26,-0.97
202210,1.79,-1.06
202211,1.59,-1.43
202212,2.28,-0.57
202301,3.35,0.61
202302,3.10,0.87
202303,5.78,2.27
202304,2.78,-1.03
202305,2.56,-1.57
202306,2.55,-1.53
202307,5.24,1.44
202308,3.84,0.36
202309,1.37,-1.86
202310,3.43,0.58
