Iowa Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,1.24,0.26
202102,0.79,-0.23
202103,2.78,0.82
202104,1.51,-1.43
202105,3.85,-0.20
202106,3.35,-1.28
202107,4.01,0.15
202108,4.65,0.81
202109,1.81,-1.86
202110,5.00,2.71
202111,0.98,-0.77
202112,0.87,-0.24
202201,0.78,-0.20
202202,0.28,-0.74
202203,2.65,0.69
202204,3.22,0.28
202205,3.59,-0.46
202206,3.53,-1.10
202207,3.23,-0.63
202208,3.49,-0.35
202209,1.90,-1.77
202210,0.92,-1.37
202211,2.04,0.29
202212,1.69,0.58
202301,1.92,0.94
202302,2.26,1.24
202303,1.47,-0.49
202304,2.12,-0.82
202305,2.67,-1.38
202306,2.81,-1.82
202307,3.08,-0.78
202308,3.06,-0.78
202309,2.13,-1.54
202310,3.12,0.83
