Kentucky Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,4.12,-0.08
202102,4.51,0.91
202103,6.78,2.07
202104,3.08,-1.02
202105,3.57,-0.77
202106,5.02,0.77
202107,6.20,1.86
202108,5.28,1.55
202109,4.23,0.99
202110,4.38,1.59
202111,1.98,-1.59
202112,4.24,0.18
202201,5.30,1.10
202202,6.42,2.82
202203,3.40,-1.31
202204,4.39,0.29
202205,4.86,0.52
202206,2.70,-1.55
202207,8.04,3.70
202208,4.57,0.84
202209,1.91,-1.33
202210,1.40,-1.39
202211,2.58,-0.99
202212,3.74,-0.32
202301,5.45,1.25
202302,4.06,0.46
202303,5.03,0.32
202304,3.43,-0.67
202305,3.28,-1.06
202306,4.06,-0.19
202307,5.84,1.50
202308,4.64,0.91
202309,1.79,-1.45
202310,2.43,-0.36
