Michigan Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,1.05,-0.76
202102,1.28,-0.22
202103,1.60,-0.44
202104,2.08,-0.52
202105,2.03,-1.06
202106,4.93,1.65
202107,4.14,1.10
202108,3.94,0.82
202109,3.64,0.26
202110,3.89,1.19
202111,1.76,-0.81
202112,2.54,0.53
202201,0.95,-0.86
202202,2.02,0.52
202203,3.38,1.34
202204,3.52,0.92
202205,3.25,0.16
202206,2.64,-0.64
202207,2.96,-0.08
202208,4.09,0.97
202209,2.46,-0.92
202210,2.92,0.22
202211,2.45,-0.12
202212,1.98,-0.03
202301,2.27,0.46
202302,2.69,1.19
202303,2.81,0.77
202304,3.98,1.38
202305,1.76,-1.33
202306,2.00,-1.28
202307,4.89,1.85
202308,3.81,0.69
202309,1.67,-1.71
202310,3.82,1.12
