Missouri Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,3.32,1.23
202102,1.15,-0.87
202103,5.24,2.03
202104,4.36,0.39
202105,4.99,0.33
202106,5.57,0.95
202107,4.86,1.15
202108,2.99,-0.72
202109,2.33,-1.77
202110,5.97,2.78
202111,1.04,-1.87
202112,2.19,-0.12
202201,1.70,-0.39
202202,2.97,0.95
202203,4.41,1.20
202204,4.52,0.55
202205,6.25,1.59
202206,2.75,-1.87
202207,4.00,0.29
202208,3.86,0.15
202209,1.70,-2.40
202210,2.74,-0.45
202211,3.22,0.31
202212,2.16,-0.15
202301,2.67,0.58
202302,2.94,0.92
202303,4.89,1.68
202304,1.75,-2.22
202305,2.84,-1.82
202306,1.89,-2.73
202307,4.44,0.73
202308,5.99,2.28
202309,1.96,-2.14
202310,3.02,-0.17
