Nebraska Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,0.66,0.16
202102,0.62,-0.04
202103,4.11,2.83
202104,1.39,-0.87
202105,3.56,0.06
202106,2.22,-1.47
202107,2.54,-0.51
202108,2.84,0.16
202109,2.06,-0.09
202110,1.96,0.54
202111,0.31,-0.54
202112,0.33,-0.27
202201,0.25,-0.25
202202,0.12,-0.54
202203,0.86,-0.42
202204,1.65,-0.61
202205,3.64,0.14
202206,1.78,-1.91
202207,3.07,0.02
202208,1.01,-1.67
202209,1.34,-0.81
202210,0.56,-0.86
202211,0.31,-0.54
202212,1.01,0.41
202301,1.57,1.07
202302,0.69,0.03
202303,0.69,-0.59
202304,0.71,-1.55
202305,4.44,0.94
202306,3.42,-0.27
202307,4.13,1.08
202308,2.75,0.07
202309,2.23,0.08
202310,2.34,0.92
