Nevada Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,0.95,-0.21
202102,0.83,-0.28
202103,0.89,-0.18
202104,0.43,-0.48
202105,0.67,-0.31
202106,0.17,-0.53
202107,0.84,0.30
202108,0.24,-0.36
202109,0.27,-0.30
202110,2.00,1.22
202111,0.18,-0.69
202112,2.11,1.09
202201,0.14,-1.02
202202,0.23,-0.88
202203,0.64,-0.43
202204,0.54,-0.37
202205,0.48,-0.50
202206,0.17,-0.53
202207,0.48,-0.06
202208,1.49,0.89
202209,0.85,0.28
202210,0.34,-0.44
202211,1.00,0.13
202212,2.12,1.10
202301,2.32,1.16
202302,0.90,-0.21
202303,2.31,1.24
202304,0.33,-0.58
202305,1.15,0.17
202306,0.95,0.25
202307,0.15,-0.39
202308,1.85,1.25
202309,1.33,0.76
202310,0.62,-0.16
