Pennsylvania Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,1.79,-1.26
202102,3.02,0.42
202103,2.81,-0.68
202104,2.79,-0.85
202105,4.28,0.35
202106,3.54,-0.63
202107,6.24,2.05
202108,5.89,2.02
202109,6.98,3.39
202110,4.61,1.44
202111,1.73,-1.45
202112,2.43,-0.68
202201,2.54,-0.51
202202,4.30,1.70
202203,2.75,-0.74
202204,4.30,0.66
202205,5.15,1.22
202206,3.58,-0.59
202207,3.27,-0.92
202208,3.74,-0.13
202209,4.79,1.20
202210,2.91,-0.26
202211,3.90,0.72
202212,3.69,0.58
202301,3.83,0.78
202302,1.82,-0.78
202303,3.07,-0.42
202304,3.26,-0.38
202305,1.76,-2.17
202306,4.15,-0.02
202307,6.36,2.17
202308,5.09,1.22
202309,3.60,0.01
202310,3.18,0.01
