Rhode Island Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,2.29,-1.65
202102,3.64,0.20
202103,2.80,-1.41
202104,3.49,-0.57
202105,5.12,1.68
202106,2.31,-1.01
202107,7.35,4.09
202108,5.26,1.21
202109,7.47,3.86
202110,5.94,2.44
202111,2.21,-1.94
202112,1.97,-2.20
202201,3.44,-0.50
202202,5.97,2.53
202203,3.11,-1.10
202204,3.62,-0.44
202205,1.86,-1.58
202206,3.91,0.59
202207,1.12,-2.14
202208,2.90,-1.15
202209,6.36,2.75
202210,5.35,1.85
202211,3.08,-1.07
202212,6.29,2.12
202301,6.64,2.70
202302,1.56,-1.88
202303,4.19,-0.02
202304,3.99,-0.07
202305,3.71,0.27
202306,3.87,0.55
202307,7.72,4.46
202308,4.45,0.40
202309,7.60,3.99
202310,3.25,-0.25
