South Carolina Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,4.66,0.83
202102,6.27,2.37
202103,3.26,-1.02
202104,1.67,-1.67
202105,2.55,-1.03
202106,6.09,1.41
202107,6.60,1.06
202108,5.47,0.19
202109,4.15,-0.09
202110,2.74,-0.25
202111,0.91,-1.70
202112,3.10,-0.51
202201,4.17,0.34
202202,2.08,-1.82
202203,3.60,-0.68
202204,4.01,0.67
202205,3.39,-0.19
202206,3.47,-1.21
202207,6.26,0.72
202208,5.31,0.03
202209,3.63,-0.61
202210,2.54,-0.45
202211,3.66,1.05
202212,3.31,-0.30
202301,5.77,1.94
202302,3.85,-0.05
202303,3.08,-1.20
202304,5.11,1.77
202305,3.50,-0.08
202306,5.94,1.26
202307,4.91,-0.63
202308,6.97,1.69
202309,2.74,-1.50
202310,1.98,-1.01
