Texas Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,1.70,0.21
202102,0.99,-0.61
202103,1.31,-0.35
202104,2.14,-0.22
202105,6.19,2.82
202106,4.05,1.19
202107,4.00,1.67
202108,2.79,0.48
202109,1.41,-1.52
202110,2.42,-0.11
202111,1.16,-0.70
202112,0.63,-1.15
202201,0.69,-0.80
202202,1.07,-0.53
202203,1.23,-0.43
202204,1.29,-1.07
202205,2.32,-1.05
202206,1.41,-1.45
202207,1.03,-1.30
202208,4.33,2.02
202209,1.41,-1.52
202210,2.36,-0.17
202211,2.74,0.88
202212,1.36,-0.42
202301,1.39,-0.10
202302,1.25,-0.35
202303,1.33,-0.33
202304,2.68,0.32
202305,4.28,0.91
202306,1.98,-0.88
202307,1.29,-1.04
202308,0.93,-1.38
202309,2.11,-0.82
202310,3.52,0.99
