Washington Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,7.37,1.31
202102,5.73,0.99
202103,2.44,-1.71
202104,0.99,-1.84
202105,1.23,-1.02
202106,1.41,-0.48
202107,0.06,-0.84
202108,0.68,-0.34
202109,3.12,1.17
202110,5.25,1.59
202111,9.22,3.11
202112,6.37,-0.10
202201,6.58,0.52
202202,3.19,-1.55
202203,3.44,-0.71
202204,4.49,1.66
202205,4.00,1.75
202206,3.61,1.72
202207,0.59,-0.31
202208,0.21,-0.81
202209,0.41,-1.54
202210,2.75,-0.91
202211,6.12,0.01
202212,6.99,0.52
202301,4.25,-1.81
202302,3.33,-1.41
202303,3.32,-0.83
202304,4.19,1.36
202305,1.26,-0.99
202306,0.91,-0.98
202307,0.32,-0.58
202308,0.92,-0.10
202309,2.26,0.31
202310,2.62,-1.04
