Wisconsin Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,0.84,-0.31
202102,0.88,-0.15
202103,1.87,0.07
202104,2.36,-0.27
202105,2.99,-0.55
202106,3.90,-0.27
202107,4.36,0.57
202108,5.46,1.68
202109,2.07,-1.68
202110,2.02,-0.36
202111,1.24,-0.76
202112,1.91,0.64
202201,0.49,-0.66
202202,0.65,-0.38
202203,3.19,1.39
202204,3.38,0.75
202205,3.89,0.35
202206,3.03,-1.14
202207,3.62,-0.17
202208,4.89,1.11
202209,2.70,-1.05
202210,1.17,-1.21
202211,3.07,1.07
202212,2.12,0.85
202301,1.71,0.56
202302,2.40,1.37
202303,2.43,0.63
202304,4.04,1.41
202305,1.61,-1.93
202306,1.88,-2.29
202307,3.86,0.07
202308,2.43,-1.35
202309,3.54,-0.21
202310,4.14,1.76
