Wyoming Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,0.68,-0.38
202102,1.28,0.31
202103,1.30,0.05
202104,1.21,-0.56
202105,1.73,-0.48
202106,0.82,-1.02
202107,1.10,-0.18
202108,1.47,0.40
202109,0.85,-0.39
202110,2.09,0.89
202111,0.54,-0.49
202112,1.30,0.29
202201,0.78,-0.28
202202,0.53,-0.44
202203,0.86,-0.39
202204,1.89,0.12
202205,2.62,0.41
202206,1.11,-0.73
202207,0.84,-0.44
202208,1.38,0.31
202209,1.40,0.16
202210,0.75,-0.45
202211,1.22,0.19
202212,1.34,0.33
202301,1.53,0.47
202302,1.08,0.11
202303,1.29,0.04
202304,1.36,-0.41
202305,1.96,-0.25
202306,3.87,2.03
202307,1.28,0.00
202308,1.89,0.82
202309,1.50,0.26
202310,1.82,0.62
