Alabama Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,46.6,1.5
202102,46.7,-1.3
202103,59.6,4.5
202104,61.6,-1.2
202105,69.4,-1.3
202106,77.0,-0.5
202107,79.3,-0.6
202108,80.0,0.7
202109,73.9,-0.8
202110,67.3,3.4
202111,52.2,-1.3
202112,56.8,10.4
202201,43.9,-1.2
202202,50.0,2.0
202203,57.4,2.3
202204,62.5,-0.3
202205,73.5,2.8
202206,80.4,2.9
202207,81.7,1.8
202208,79.3,0.0
202209,73.9,-0.8
202210,61.2,-2.7
202211,55.4,1.9
202212,49.2,2.8
202301,51.5,6.4
202302,56.4,8.4
202303,58.7,3.6
202304,63.2,0.4
202305,70.4,-0.3
202306,76.8,-0.7
202307,81.3,1.4
202308,82.3,3.0
202309,75.8,1.1
202310,65.2,1.3
