Arkansas Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,41.4,2.1
202102,34.8,-8.3
202103,55.2,3.9
202104,58.4,-2.1
202105,66.8,-1.9
202106,76.9,0.4
202107,79.3,-1.0
202108,80.7,1.4
202109,74.3,1.5
202110,65.5,3.7
202111,49.4,-0.5
202112,53.4,11.9
202201,38.8,-0.5
202202,42.2,-0.9
202203,52.1,0.8
202204,59.9,-0.6
202205,70.9,2.2
202206,78.1,1.6
202207,84.1,3.8
202208,79.4,0.1
202209,73.8,1.0
202210,61.4,-0.4
202211,49.8,-0.1
202212,43.3,1.8
202301,46.4,7.1
202302,48.7,5.6
202303,53.0,1.7
202304,60.3,-0.2
202305,70.1,1.4
202306,77.2,0.7
202307,81.0,0.7
202308,81.7,2.4
202309,74.8,2.0
202310,64.1,2.3
