Connecticut Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,29.2,3.8
202102,28.5,2.2
202103,39.3,3.9
202104,48.7,2.7
202105,57.8,1.0
202106,69.2,3.8
202107,71.1,0.4
202108,72.8,4.2
202109,65.2,3.7
202110,56.8,5.8
202111,41.0,0.8
202112,37.0,7.8
202201,24.3,-1.1
202202,30.7,4.4
202203,39.0,3.6
202204,47.7,1.7
202205,60.8,4.0
202206,66.4,1.0
202207,74.2,3.5
202208,74.6,6.0
202209,63.7,2.2
202210,52.5,1.5
202211,45.2,5.0
202212,33.5,4.3
202301,37.2,11.8
202302,33.7,7.4
202303,38.8,3.4
202304,51.1,5.1
202305,56.8,0.0
202306,65.4,0.0
202307,74.9,4.2
202308,69.6,1.0
202309,65.3,3.8
202310,56.1,5.1
