Florida Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,58.7,0.9
202102,63.7,4.3
202103,67.8,3.8
202104,69.9,0.6
202105,76.1,1.0
202106,80.7,1.2
202107,81.9,0.9
202108,82.6,1.5
202109,79.7,0.6
202110,75.3,3.0
202111,63.4,-0.9
202112,66.5,7.7
202201,57.5,-0.3
202202,63.1,3.7
202203,68.5,4.5
202204,71.8,2.5
202205,77.7,2.6
202206,82.0,2.5
202207,83.1,2.1
202208,82.8,1.7
202209,80.0,0.9
202210,71.7,-0.6
202211,69.6,5.3
202212,61.4,2.6
202301,61.8,4.0
202302,67.5,8.1
202303,69.1,5.1
202304,73.3,4.0
202305,76.3,1.2
202306,80.5,1.0
202307,84.1,3.1
202308,84.9,3.8
202309,80.5,1.4
202310,73.4,1.1
