Georgia Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,47.7,1.6
202102,49.5,0.9
202103,59.9,4.5
202104,62.1,-0.9
202105,69.4,-1.6
202106,77.0,-0.4
202107,79.3,-0.4
202108,80.0,1.0
202109,73.8,-0.7
202110,67.2,3.0
202111,52.7,-1.5
202112,56.6,9.5
202201,45.9,-0.2
202202,52.8,4.2
202203,59.0,3.6
202204,63.0,0.0
202205,73.3,2.3
202206,80.1,2.7
202207,81.3,1.6
202208,79.5,0.5
202209,74.0,-0.5
202210,62.1,-2.1
202211,57.6,3.4
202212,49.1,2.0
202301,51.5,5.4
202302,58.2,9.6
202303,59.2,3.8
202304,64.1,1.1
202305,69.6,-1.4
202306,75.8,-1.6
202307,81.6,1.9
202308,81.6,2.6
202309,74.6,0.1
202310,65.0,0.8
