Idaho Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,26.6,4.6
202102,25.4,-1.0
202103,34.8,2.2
202104,42.0,1.0
202105,49.8,0.5
202106,65.1,8.4
202107,71.8,6.7
202108,63.9,0.3
202109,57.2,2.5
202110,45.2,1.1
202111,36.7,5.1
202112,26.5,2.6
202201,23.6,1.6
202202,24.4,-2.0
202203,36.2,3.6
202204,37.0,-4.0
202205,46.2,-3.1
202206,57.2,0.5
202207,69.5,4.4
202208,69.4,5.8
202209,60.8,6.1
202210,48.0,3.9
202211,26.1,-5.5
202212,22.7,-1.2
202301,23.6,1.6
202302,24.1,-2.3
202303,27.9,-4.7
202304,38.8,-2.2
202305,54.4,5.1
202306,57.2,0.5
202307,68.6,3.5
202308,65.8,2.2
202309,56.6,1.9
202310,46.1,2.0
