Illinois Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,29.5,4.2
202102,20.8,-8.4
202103,46.2,6.4
202104,52.5,1.0
202105,61.1,-1.0
202106,74.1,2.7
202107,74.6,-1.0
202108,75.6,2.2
202109,69.6,3.4
202110,60.2,5.6
202111,40.9,0.1
202112,40.2,10.8
202201,22.2,-3.1
202202,27.9,-1.3
202203,43.1,3.3
202204,49.6,-1.9
202205,65.3,3.2
202206,73.5,2.1
202207,75.7,0.1
202208,73.6,0.2
202209,67.0,0.8
202210,53.3,-1.3
202211,42.9,2.1
202212,30.2,0.8
202301,34.4,9.1
202302,36.3,7.1
202303,40.9,1.1
202304,53.4,1.9
202305,64.2,2.1
202306,71.6,0.2
202307,75.4,-0.2
202308,73.5,0.1
202309,68.4,2.2
202310,56.7,2.1
