Kansas Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,34.0,5.4
202102,24.1,-9.5
202103,48.1,5.7
202104,52.5,-1.0
202105,61.9,-1.5
202106,75.8,2.4
202107,77.7,-1.2
202108,79.1,1.8
202109,73.3,4.7
202110,59.1,2.6
202111,46.7,4.7
202112,41.1,9.6
202201,29.8,1.2
202202,31.8,-1.8
202203,44.0,1.6
202204,54.1,0.6
202205,64.6,1.2
202206,75.8,2.4
202207,81.0,2.1
202208,79.1,1.8
202209,72.0,3.4
202210,57.7,1.2
202211,41.1,-0.9
202212,30.6,-0.9
202301,33.0,4.4
202302,35.2,1.6
202303,42.0,-0.4
202304,54.6,1.1
202305,65.8,2.4
202306,73.4,0.0
202307,78.3,-0.6
202308,78.8,1.5
202309,72.3,3.7
202310,57.8,1.3
