Montana Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,26.7,10.0
202102,13.7,-7.6
202103,36.1,6.7
202104,40.5,-0.2
202105,48.6,-1.6
202106,65.3,7.0
202107,72.5,6.8
202108,64.7,0.6
202109,58.3,4.5
202110,45.6,2.4
202111,36.3,6.8
202112,19.3,-1.3
202201,22.9,6.2
202202,22.5,1.2
202203,33.5,4.1
202204,35.2,-5.5
202205,48.5,-1.7
202206,58.5,0.2
202207,69.0,3.3
202208,69.7,5.6
202209,60.7,6.9
202210,47.1,3.9
202211,22.6,-6.9
202212,14.7,-5.9
202301,22.9,6.2
202302,23.3,2.0
202303,23.4,-6.0
202304,39.2,-1.5
202305,56.4,6.2
202306,60.4,2.1
202307,67.4,1.7
202308,66.8,2.7
202309,58.5,4.7
202310,42.4,-0.8
