Nebraska Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,29.3,7.2
202102,16.5,-10.2
202103,42.6,6.8
202104,47.0,-0.7
202105,57.9,-0.5
202106,72.8,4.5
202107,75.0,0.5
202108,74.3,2.0
202109,67.6,4.8
202110,53.2,2.4
202111,42.6,6.7
202112,33.8,8.5
202201,25.6,3.5
202202,26.8,0.1
202203,38.0,2.2
202204,46.5,-1.2
202205,58.7,0.3
202206,71.4,3.1
202207,76.4,1.9
202208,75.0,2.7
202209,67.5,4.7
202210,52.2,1.4
202211,34.4,-1.5
202212,22.6,-2.7
202301,24.8,2.7
202302,26.9,0.2
202303,33.6,-2.2
202304,48.1,0.4
202305,62.1,3.7
202306,69.8,1.5
202307,72.8,-1.7
202308,73.8,1.5
202309,67.3,4.5
202310,51.2,0.4
