Nevada Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,33.7,3.8
202102,35.6,1.5
202103,39.2,-0.3
202104,49.3,2.7
202105,57.2,2.2
202106,72.6,8.7
202107,77.8,5.7
202108,72.4,2.3
202109,65.5,3.8
202110,49.6,-1.1
202111,45.2,6.3
202112,32.4,1.2
202201,34.1,4.2
202202,34.6,0.5
202203,43.3,3.8
202204,47.2,0.6
202205,54.4,-0.6
202206,66.9,3.0
202207,76.2,4.1
202208,74.1,4.0
202209,67.6,5.9
202210,54.3,3.6
202211,34.0,-4.9
202212,31.4,0.2
202301,29.3,-0.6
202302,31.1,-3.0
202303,33.7,-5.8
202304,46.8,0.2
202305,57.4,2.4
202306,61.9,-2.0
202307,76.4,4.3
202308,71.0,0.9
202309,61.9,0.2
202310,52.4,1.7
