New Jersey Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,33.7,4.1
202102,32.0,1.4
202103,44.0,4.7
202104,52.6,3.3
202105,60.8,1.0
202106,71.8,3.3
202107,75.7,2.2
202108,75.9,4.3
202109,68.7,3.7
202110,61.0,7.0
202111,43.6,0.5
202112,41.2,8.2
202201,28.6,-1.0
202202,35.6,5.0
202203,43.9,4.6
202204,51.1,1.8
202205,63.2,3.4
202206,69.9,1.4
202207,77.9,4.4
202208,77.2,5.6
202209,67.6,2.6
202210,54.0,0.0
202211,47.7,4.6
202212,35.6,2.6
202301,41.1,11.5
202302,39.1,8.5
202303,42.3,3.0
202304,55.3,6.0
202305,59.2,-0.6
202306,67.7,-0.8
202307,76.9,3.4
202308,72.9,1.3
202309,67.7,2.7
202310,58.2,4.2
