North Carolina Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,40.8,0.8
202102,42.2,0.3
202103,53.1,3.8
202104,58.6,0.8
202105,65.5,-0.9
202106,73.8,0.2
202107,77.1,0.2
202108,77.8,2.2
202109,70.6,0.3
202110,64.4,4.8
202111,48.1,-1.2
202112,50.8,9.3
202201,38.6,-1.4
202202,46.0,4.1
202203,53.4,4.1
202204,58.8,1.0
202205,68.8,2.4
202206,75.0,1.4
202207,79.0,2.1
202208,76.5,0.9
202209,70.3,0.0
202210,57.4,-2.2
202211,53.2,3.9
202212,41.7,0.2
202301,46.6,6.6
202302,51.2,9.3
202303,52.0,2.7
202304,60.1,2.3
202305,64.0,-2.4
202306,70.8,-2.8
202307,78.5,1.6
202308,77.3,1.7
202309,70.7,0.4
202310,61.0,1.4
