Ohio Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,30.9,4.0
202102,25.2,-3.8
202103,44.8,6.3
202104,51.4,2.2
202105,58.8,-1.2
202106,71.5,2.6
202107,73.0,0.0
202108,74.6,3.7
202109,66.9,2.4
202110,60.3,7.5
202111,40.5,-0.3
202112,40.2,9.8
202201,24.0,-2.9
202202,30.8,1.8
202203,43.2,4.7
202204,48.7,-0.5
202205,63.8,3.8
202206,70.6,1.7
202207,74.1,1.1
202208,72.2,1.3
202209,65.2,0.7
202210,52.0,-0.8
202211,44.0,3.2
202212,32.7,2.3
202301,36.7,9.8
202302,38.6,9.6
202303,40.6,2.1
202304,52.3,3.1
202305,59.4,-0.6
202306,66.9,-2.0
202307,73.6,0.6
202308,70.6,-0.3
202309,65.9,1.4
202310,55.8,3.0
