Oklahoma Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,39.7,3.2
202102,31.3,-9.9
202103,53.9,4.6
202104,57.4,-2.0
202105,65.9,-2.1
202106,77.4,0.5
202107,80.0,-1.7
202108,81.3,0.4
202109,76.7,3.6
202110,64.4,2.8
202111,51.2,2.8
202112,50.4,11.5
202201,37.1,0.6
202202,38.5,-2.7
202203,50.5,1.2
202204,61.1,1.7
202205,70.6,2.6
202206,79.5,2.6
202207,86.6,4.9
202208,82.6,1.7
202209,76.0,2.9
202210,62.0,0.4
202211,47.3,-1.1
202212,40.1,1.2
202301,42.4,5.9
202302,43.9,2.7
202303,50.4,1.1
202304,58.8,-0.6
202305,69.2,1.2
202306,76.8,-0.1
202307,81.9,0.2
202308,83.7,2.8
202309,76.7,3.6
202310,62.7,1.1
