Oregon Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,34.8,4.6
202102,33.6,-0.5
202103,39.0,0.7
202104,46.6,2.7
202105,52.0,1.5
202106,65.2,8.0
202107,71.4,6.6
202108,66.4,2.5
202109,59.4,2.1
202110,47.6,-0.5
202111,41.9,4.2
202112,32.4,0.6
202201,34.7,4.5
202202,35.8,1.7
202203,41.8,3.5
202204,40.2,-3.7
202205,47.8,-2.7
202206,58.1,0.9
202207,69.6,4.8
202208,70.6,6.7
202209,62.5,5.2
202210,54.1,6.0
202211,33.2,-4.5
202212,30.2,-1.6
202301,32.2,2.0
202302,32.5,-1.6
202303,33.4,-4.9
202304,42.8,-1.1
202305,55.3,4.8
202306,59.2,2.0
202307,68.9,4.1
202308,67.6,3.7
202309,57.7,0.4
202310,50.0,1.9
