Pennsylvania Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,29.4,4.1
202102,26.6,0.1
202103,40.7,4.9
202104,49.4,2.6
202105,57.0,-0.6
202106,68.6,2.6
202107,71.2,0.8
202108,72.6,4.2
202109,64.3,2.6
202110,57.7,7.1
202111,39.0,-0.3
202112,37.6,8.7
202201,22.5,-2.8
202202,29.7,3.2
202203,39.3,3.5
202204,47.0,0.2
202205,60.5,2.9
202206,67.1,1.1
202207,72.3,1.9
202208,71.4,3.0
202209,63.0,1.3
202210,49.4,-1.2
202211,42.8,3.5
202212,30.6,1.7
202301,35.9,10.6
202302,35.7,9.2
202303,37.7,1.9
202304,51.6,4.8
202305,56.1,-1.5
202306,64.4,-1.6
202307,72.3,1.9
202308,68.8,0.4
202309,63.6,1.9
202310,54.1,3.5
