Rhode Island Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,31.3,4.1
202102,30.9,3.1
202103,40.2,4.1
202104,48.8,3.1
202105,58.0,1.9
202106,69.6,4.9
202107,71.2,0.9
202108,73.6,4.9
202109,66.4,4.5
202110,58.4,6.5
202111,42.9,1.4
202112,38.6,7.6
202201,27.0,-0.2
202202,32.4,4.6
202203,40.6,4.5
202204,48.4,2.7
202205,60.2,4.1
202206,66.3,1.6
202207,74.5,4.2
202208,75.0,6.3
202209,63.4,1.5
202210,54.3,2.4
202211,46.7,5.2
202212,35.4,4.4
202301,38.1,10.9
202302,34.3,6.5
202303,39.7,3.6
202304,51.1,5.4
202305,56.2,0.1
202306,64.9,0.2
202307,74.6,4.3
202308,69.6,0.9
202309,66.0,4.1
202310,57.0,5.1
