South Carolina Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,46.0,1.4
202102,47.2,0.4
202103,57.6,3.7
202104,62.0,0.1
202105,69.1,-1.2
202106,76.8,-0.2
202107,79.4,-0.5
202108,80.1,1.4
202109,73.5,-0.2
202110,66.8,3.6
202111,51.6,-1.5
202112,54.6,9.0
202201,43.7,-0.9
202202,51.9,5.1
202203,57.7,3.8
202204,62.3,0.4
202205,72.9,2.6
202206,78.8,1.8
202207,81.3,1.4
202208,79.1,0.4
202209,73.8,0.1
202210,60.9,-2.3
202211,57.0,3.9
202212,46.1,0.5
202301,50.5,5.9
202302,56.3,9.5
202303,57.0,3.1
202304,63.2,1.3
202305,67.2,-3.1
202306,74.1,-2.9
202307,81.3,1.4
202308,80.7,2.0
202309,73.4,-0.3
202310,63.9,0.7
