Washington Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,34.6,6.2
202102,31.4,-1.7
202103,39.7,1.1
202104,46.8,1.7
202105,52.6,0.8
202106,64.6,6.9
202107,69.7,5.6
202108,65.8,2.3
202109,58.0,1.1
202110,46.6,-0.6
202111,39.9,3.3
202112,29.4,-1.2
202201,31.4,3.0
202202,33.7,0.6
202203,41.5,2.9
202204,40.8,-4.3
202205,48.4,-3.4
202206,58.0,0.3
202207,68.0,3.9
202208,69.8,6.3
202209,61.6,4.7
202210,53.7,6.5
202211,32.1,-4.5
202212,26.3,-4.3
202301,33.3,4.9
202302,32.6,-0.5
202303,36.8,-1.8
202304,43.3,-1.8
202305,58.2,6.4
202306,60.7,3.0
202307,67.4,3.3
202308,67.6,4.1
202309,58.4,1.5
202310,49.2,2.0
