West Virginia Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,32.6,2.1
202102,31.6,-1.1
202103,45.8,4.7
202104,51.3,0.4
202105,58.7,-1.8
202106,69.2,1.1
202107,72.2,0.3
202108,73.9,3.5
202109,65.5,1.1
202110,59.4,6.1
202111,40.9,-1.2
202112,42.6,9.5
202201,27.3,-3.2
202202,35.4,2.7
202203,44.6,3.5
202204,50.8,-0.1
202205,63.0,2.5
202206,68.7,0.6
202207,73.0,1.1
202208,71.7,1.3
202209,64.2,-0.2
202210,50.3,-3.0
202211,44.9,2.8
202212,34.4,1.3
202301,38.9,8.4
202302,41.5,8.8
202303,43.0,1.9
202304,53.8,2.9
202305,58.4,-2.1
202306,64.8,-3.3
202307,73.0,1.1
202308,70.6,0.2
202309,65.5,1.1
202310,55.9,2.6
