Wisconsin Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
202101,20.3,7.9
202102,10.7,-5.7
202103,36.9,8.6
202104,45.0,2.4
202105,54.9,0.3
202106,69.4,5.3
202107,69.4,0.5
202108,69.2,2.8
202109,61.2,3.2
202110,53.5,6.7
202111,33.9,2.3
202112,24.8,6.7
202201,9.3,-3.1
202202,14.9,-1.5
202203,29.5,1.2
202204,39.1,-3.5
202205,57.2,2.6
202206,65.5,1.4
202207,69.4,0.5
202208,67.5,1.1
202209,60.3,2.3
202210,47.2,0.4
202211,35.3,3.7
202212,19.1,1.0
202301,23.0,10.6
202302,21.7,5.3
202303,28.7,0.4
202304,43.4,0.8
202305,56.8,2.2
202306,66.6,2.5
202307,68.5,-0.4
202308,67.7,1.3
202309,63.2,5.2
202310,49.4,2.6
