state,Kharif,Rabi,Summer
uttar_pradesh,25950750,25950750,25950750
rajasthan,24703500,24703500,0
madhya_pradesh,23375750,23375750,0
maharashtra,22706250,22706250,22706250
gujarat,12736500,12736500,12736500
karnataka,12080250,12080250,12080250
andhra_pradesh,10806750,10806750,0
west_bengal,9530000,9530000,9530000
punjab,7870000,7870000,0
bihar,7669500,7669500,7669500
haryana,6468000,6468000,0
telangana,5801500,5801500,0
tamil_nadu,5730500,0,5730500
chhattisgarh,5695250,5695250,0
odisha,5093500,5093500,5093500
assam,4108250,4108250,4108250
kerala,2624000,2624000,2624000
jharkhand,1578250,1578250,0
jammu_and_kashmir,1169750,1169750,0
uttarakhand,1113000,1113000,1113000
himachal_pradesh,931000,931000,0
nagaland,490500,490500,0
tripura,475750,475750,0
manipur,358500,358500,358500
meghalaya,341250,341250,341250
arunachal_pradesh,280000,280000,0
goa,160750,160750,0
sikkim,141000,141000,0
mizoram,118000,118000,0
puducherry,26250,26250,26250
dadra_and_nagar_haveli,23750,23750,0
andaman_and_nicobar_islands,22750,22750,0
chandigarh,2000,2000,0
